"","OperatorName","PlantName","PlantState","County","OperatorID","PlantID","GeneratorID","UniqueID","NetGeneration2018","NameplateCapacityMW","Technology","EnergySource1","Status","OperatingMonth","OperatingYear","PlannedRetirementMonth","PlannedRetirementYear","CapacityFactor"
"192","Indian River Operations Inc","Indian River Generating Station","DE","Sussex",9332,594,"4","9332 594 4",278641,445.5,"Conventional Steam Coal","BIT","OP",10,1980,NA,NA,7.13991769547325
"195","NAES Corporation - (DE)","McKee Run","DE","Kent",54899,599,"3","54899 599 3",28704,113.6,"Natural Gas Steam Turbine","NG","OP",5,1975,NA,NA,2.88442986687247
"246","Duke Energy Florida, LLC","Crystal River","FL","Citrus",6455,628,"1GTB","6455 628 1GTB",251709,310.3,"Natural Gas Fired Combined Cycle","NG","OP",10,2018,NA,NA,9.26003999664487
"247","Duke Energy Florida, LLC","Crystal River","FL","Citrus",6455,628,"2GTA","6455 628 2GTA",187244,310.3,"Natural Gas Fired Combined Cycle","NG","OP",11,2018,NA,NA,6.88845821616141
"248","Duke Energy Florida, LLC","Crystal River","FL","Citrus",6455,628,"2GTB","6455 628 2GTB",169112,310.3,"Natural Gas Fired Combined Cycle","NG","OP",11,2018,NA,NA,6.22140600420568
"249","Duke Energy Florida, LLC","Crystal River","FL","Citrus",6455,628,"CC1ST","6455 628 CC1ST",292416,364.7,"Natural Gas Fired Combined Cycle","NG","OP",10,2018,NA,NA,9.15295363800609
"250","Duke Energy Florida, LLC","Crystal River","FL","Citrus",6455,628,"CC2ST","6455 628 CC2ST",162953,364.7,"Natural Gas Fired Combined Cycle","NG","OP",11,2018,NA,NA,5.10061437874127
"274","City of Lake Worth - (FL)","Tom G Smith","FL","Palm Beach",10620,673,"S3","10620 673 S3",4211,26.5,"Natural Gas Steam Turbine","NG","OP",11,1967,NA,NA,1.81399155681916
"275","City of Lake Worth - (FL)","Tom G Smith","FL","Palm Beach",10620,673,"S5","10620 673 S5",1069,10,"Natural Gas Fired Combined Cycle","NG","OP",3,1978,NA,NA,1.2203196347032
"276","City of Lake Worth - (FL)","Tom G Smith","FL","Palm Beach",10620,673,"GT2","10620 673 GT2",5998,21.4,"Natural Gas Fired Combined Cycle","NG","OP",3,1978,NA,NA,3.19954764648146
"277","City of Lakeland - (FL)","Larsen Memorial","FL","Polk",10623,675,"5","10623 675 5",20561,25,"Natural Gas Fired Combined Cycle","NG","OP",4,1956,NA,NA,9.38858447488584
"278","City of Lakeland - (FL)","Larsen Memorial","FL","Polk",10623,675,"8","10623 675 8",61310,86.2,"Natural Gas Fired Combined Cycle","NG","OP",7,1992,NA,NA,8.11932534511437
"282","City of Lakeland - (FL)","C D McIntosh Jr","FL","Polk",10623,676,"ST2","10623 676 ST2",0,126,"Natural Gas Steam Turbine","NG","OP",6,1976,NA,NA,0
"292","Georgia Power Co","Hammond","GA","Floyd",7140,708,"1","7140 708 1",4000,125,"Conventional Steam Coal","BIT","OP",6,1954,7,2019,0.365296803652968
"293","Georgia Power Co","Hammond","GA","Floyd",7140,708,"2","7140 708 2",17649,125,"Conventional Steam Coal","BIT","OP",9,1954,7,2019,1.61178082191781
"294","Georgia Power Co","Hammond","GA","Floyd",7140,708,"3","7140 708 3",18342,125,"Conventional Steam Coal","BIT","OP",6,1955,7,2019,1.67506849315068
"295","Georgia Power Co","Hammond","GA","Floyd",7140,708,"4","7140 708 4",141390,578,"Conventional Steam Coal","BIT","OP",12,1970,7,2019,2.79245864340902
"307","Crisp County Power Comm","Crisp Plant","GA","Worth",4538,753,"1","4538 753 1",29,12.5,"Natural Gas Steam Turbine","NG","OP",6,1957,NA,NA,0.0264840182648402
"308","Oklahoma Municipal Power Authority","Ponca","OK","Kay",14077,762,"2","14077 762 2",0,48,"Natural Gas Steam Turbine","NG","OP",10,1977,NA,NA,0
"315","Hawaiian Electric Co Inc","Waiau","HI","Honolulu",19547,766,"W3","19547 766 W3",18145,50,"Petroleum Liquids","RFO","OP",12,1947,NA,NA,4.14269406392694
"316","Hawaiian Electric Co Inc","Waiau","HI","Honolulu",19547,766,"W4","19547 766 W4",18868,50,"Petroleum Liquids","RFO","OP",10,1950,NA,NA,4.30776255707763
"329","Mainline Generation LLC","Grand Tower Energy Center LLC","IL","Jackson",59371,862,"3","59371 862 3",0,80.9,"Natural Gas Fired Combined Cycle","NG","OP",3,1951,NA,NA,0
"330","Mainline Generation LLC","Grand Tower Energy Center LLC","IL","Jackson",59371,862,"4","59371 862 4",0,113.6,"Natural Gas Fired Combined Cycle","NG","OP",4,1958,NA,NA,0
"347","Dynegy Midwest Generation Inc","Baldwin Energy Complex","IL","Randolph",5517,889,"3","5517 889 3",0,634.5,"Conventional Steam Coal","RC","OS",4,1975,NA,NA,0
"355","Village of Winnetka - (IL)","Winnetka","IL","Cook",20824,972,"4","20824 972 4",1187,9.4,"Natural Gas Steam Turbine","NG","OP",1,1953,NA,NA,1.44151365005343
"356","Village of Winnetka - (IL)","Winnetka","IL","Cook",20824,972,"6","20824 972 6",815,6.3,"Natural Gas Steam Turbine","NG","OP",1,1948,NA,NA,1.47677031238675
"357","Village of Winnetka - (IL)","Winnetka","IL","Cook",20824,972,"7","20824 972 7",1750,12.5,"Natural Gas Steam Turbine","NG","OP",1,1960,NA,NA,1.59817351598174
"369","Indianapolis Power & Light Co","Harding Street","IN","Marion",9273,990,"6","9273 990 6",82264,100,"Natural Gas Steam Turbine","NG","OP",5,1961,NA,NA,9.39086757990868
"374","Citizens Thermal Energy","CC Perry K","IN","Marion",3599,992,"4","3599 992 4",0,15,"Natural Gas Steam Turbine","NG","OS",1,1925,NA,NA,0
"390","Duke Energy Indiana, LLC","Noblesville","IN","Hamilton",15470,1007,"1","15470 1007 1",0,50,"Natural Gas Fired Combined Cycle","NG","OP",12,1950,NA,NA,0
"391","Duke Energy Indiana, LLC","Noblesville","IN","Hamilton",15470,1007,"2","15470 1007 2",0,50,"Natural Gas Fired Combined Cycle","NG","OP",9,1950,NA,NA,0
"396","Duke Energy Indiana, LLC","R Gallagher","IN","Floyd",15470,1008,"4","15470 1008 4",113576,150,"Conventional Steam Coal","BIT","OP",3,1961,12,2022,8.64353120243531
"399","Fayetteville Public Works Commission","Butler-Warner Generation Plant","NC","Cumberland",6235,1016,"1","6235 1016 1",7191,28.8,"Natural Gas Fired Combined Cycle","NG","OP",12,1976,NA,NA,2.85031392694064
"400","Fayetteville Public Works Commission","Butler-Warner Generation Plant","NC","Cumberland",6235,1016,"2","6235 1016 2",6602,28.8,"Natural Gas Fired Combined Cycle","NG","OP",12,1976,NA,NA,2.61685058346017
"401","Fayetteville Public Works Commission","Butler-Warner Generation Plant","NC","Cumberland",6235,1016,"3","6235 1016 3",7983,28.8,"Natural Gas Fired Combined Cycle","NG","OP",7,1976,NA,NA,3.16424086757991
"402","Fayetteville Public Works Commission","Butler-Warner Generation Plant","NC","Cumberland",6235,1016,"6","6235 1016 6",7814,28.8,"Natural Gas Fired Combined Cycle","NG","OP",6,1978,NA,NA,3.09725393201421
"403","Fayetteville Public Works Commission","Butler-Warner Generation Plant","NC","Cumberland",6235,1016,"7","6235 1016 7",8063,28.8,"Natural Gas Fired Combined Cycle","NG","OP",6,1979,NA,NA,3.19595065956367
"404","Fayetteville Public Works Commission","Butler-Warner Generation Plant","NC","Cumberland",6235,1016,"8","6235 1016 8",8719,28.8,"Natural Gas Fired Combined Cycle","NG","OP",5,1980,NA,NA,3.45597095383054
"405","Fayetteville Public Works Commission","Butler-Warner Generation Plant","NC","Cumberland",6235,1016,"9","6235 1016 9",12282,73,"Natural Gas Fired Combined Cycle","NG","OP",12,1988,NA,NA,1.92062300619253
"406","Crawfordsville Energy LLC","Crawfordsville Power Plant","IN","Montgomery",59774,1024,"4","59774 1024 4",0,11.5,"Conventional Steam Coal","BIT","SB",1,1955,NA,NA,0
"407","Crawfordsville Energy LLC","Crawfordsville Power Plant","IN","Montgomery",59774,1024,"5","59774 1024 5",0,12.6,"Conventional Steam Coal","BIT","SB",1,1965,NA,NA,0
"408","City of Richmond - (IN)","Whitewater Valley","IN","Wayne",15989,1040,"1","15989 1040 1",12155,33,"Conventional Steam Coal","BIT","OP",3,1955,NA,NA,4.20471841704718
"409","City of Richmond - (IN)","Whitewater Valley","IN","Wayne",15989,1040,"2","15989 1040 2",28937,60.9,"Conventional Steam Coal","BIT","OP",8,1973,NA,NA,5.42415517616273
"413","Interstate Power and Light Co","Prairie Creek","IA","Linn",9417,1073,"3","9417 1073 3",14009,50,"Conventional Steam Coal","SUB","OP",10,1958,12,2025,3.19840182648402
"414","Interstate Power and Light Co","Prairie Creek","IA","Linn",9417,1073,"4","9417 1073 4",51830,148.8,"Natural Gas Steam Turbine","NG","OP",4,1967,NA,NA,3.97625448028674
"420","City of Ames - (IA)","Ames Electric Services Power Plant","IA","Story",554,1122,"7","554 1122 7",596,37.5,"Natural Gas Steam Turbine","NG","OP",5,1968,NA,NA,0.181430745814307
"423","Cedar Falls Utilities","Streeter Station","IA","Black Hawk",3203,1131,"7","3203 1131 7",2888,35,"Natural Gas Steam Turbine","NG","OP",6,1973,NA,NA,0.94194390084801
"428","Central Iowa Power Cooperative","Summit Lake","IA","Union",3258,1206,"1","3258 1206 1",1074,7.5,"Natural Gas Fired Combined Cycle","NG","OP",3,1951,1,2021,1.63470319634703
"429","Central Iowa Power Cooperative","Summit Lake","IA","Union",3258,1206,"2","3258 1206 2",1017,7.5,"Natural Gas Fired Combined Cycle","NG","OP",3,1951,1,2021,1.54794520547945
"430","Central Iowa Power Cooperative","Summit Lake","IA","Union",3258,1206,"3","3258 1206 3",104,7.5,"Natural Gas Fired Combined Cycle","NG","OP",10,1957,1,2021,0.158295281582953
"431","Central Iowa Power Cooperative","Summit Lake","IA","Union",3258,1206,"GT1","3258 1206 GT1",1843,27,"Natural Gas Fired Combined Cycle","NG","OP",7,1973,NA,NA,0.779215288347708
"432","Central Iowa Power Cooperative","Summit Lake","IA","Union",3258,1206,"GT2","3258 1206 GT2",6208,35.3,"Natural Gas Fired Combined Cycle","NG","OP",6,1975,NA,NA,2.00758016738458
"433","Corn Belt Power Coop","Earl F Wisdom","IA","Clay",4363,1217,"1","4363 1217 1",1760,37.5,"Natural Gas Steam Turbine","NG","OP",4,1960,NA,NA,0.535768645357687
"434","Sunflower Electric Power Corp","Cimarron River","KS","Seward",18315,1230,"1","18315 1230 1",621,50,"Natural Gas Steam Turbine","NG","OP",10,1963,NA,NA,0.141780821917808
"435","Sunflower Electric Power Corp","Fort Dodge","KS","Ford",18315,1233,"4","18315 1233 4",1193,149,"Natural Gas Steam Turbine","NG","OP",6,1969,NA,NA,0.0914008151757531
"448","City of Clay Center - (KS)","Clay Center","KS","Clay",3710,1270,"5","3710 1270 5",0,3,"Natural Gas Steam Turbine","NG","OP",1,1948,NA,NA,0
"449","City of Clay Center - (KS)","Clay Center","KS","Clay",3710,1270,"6","3710 1270 6",0,5,"Natural Gas Steam Turbine","NG","OP",1,1961,NA,NA,0
"450","City of Coffeyville - (KS)","Coffeyville","KS","Montgomery",3892,1271,"6","3892 1271 6",126,18.7,"Natural Gas Steam Turbine","NG","OP",8,1956,NA,NA,0.076917441945645
"451","City of Coffeyville - (KS)","Coffeyville","KS","Montgomery",3892,1271,"7","3892 1271 7",18888,40,"Natural Gas Steam Turbine","NG","OP",6,1973,NA,NA,5.39041095890411
"452","City of Kansas City - (KS)","Quindaro","KS","Wyandotte",9996,1295,"ST1","9996 1295 ST1",10846,81.6,"Natural Gas Steam Turbine","NG","OP",5,1965,NA,NA,1.51731354642314
"453","City of Kansas City - (KS)","Quindaro","KS","Wyandotte",9996,1295,"ST2","9996 1295 ST2",14573,157.5,"Natural Gas Steam Turbine","NG","OP",12,1971,NA,NA,1.05624411103863
"454","City of Pratt- (KS)","Pratt","KS","Pratt",15321,1317,"5","15321 1317 5",279,14,"Natural Gas Steam Turbine","NG","OP",1,1965,NA,NA,0.227495107632094
"455","City of Wellington - (KS)","Wellington 1","KS","Sumner",20315,1330,"4","20315 1330 4",62,20,"Natural Gas Steam Turbine","NG","OP",8,1972,NA,NA,0.0353881278538813
"456","Sunflower Electric Power Corp","Garden City","KS","Finney",18315,1336,"S2","18315 1336 S2",18498,97.9,"Natural Gas Steam Turbine","NG","OP",4,1973,NA,NA,2.15693956651322
"493","Entergy Louisiana LLC","Louisiana 1","LA","East Baton Rouge",11241,1391,"1A","11241 1391 1A",0,23,"Other Gases","OG","OP",10,1951,NA,NA,0
"514","Entergy Louisiana LLC","Sterlington","LA","Ouachita",11241,1404,"7A","11241 1404 7A",3131,59.3,"Natural Gas Fired Combined Cycle","NG","OP",4,1973,6,2022,0.602732025841823
"515","Entergy Louisiana LLC","Sterlington","LA","Ouachita",11241,1404,"7C","11241 1404 7C",0,101,"Natural Gas Fired Combined Cycle","NG","OP",9,1974,6,2020,0
"516","Southwestern Electric Power Co","Arsenal Hill","LA","Caddo",17698,1416,"5","17698 1416 5",25526,125,"Natural Gas Steam Turbine","NG","OP",3,1960,NA,NA,2.33114155251142
"517","Southwestern Electric Power Co","Lieberman","LA","Caddo",17698,1417,"2","17698 1417 2",4252,25,"Natural Gas Steam Turbine","NG","OP",4,1949,12,2019,1.94155251141552
"518","Southwestern Electric Power Co","Lieberman","LA","Caddo",17698,1417,"3","17698 1417 3",30371,114,"Natural Gas Steam Turbine","NG","OP",6,1957,NA,NA,3.04123608107026
"519","Southwestern Electric Power Co","Lieberman","LA","Caddo",17698,1417,"4","17698 1417 4",32086,114,"Natural Gas Steam Turbine","NG","OP",5,1959,NA,NA,3.21296963870864
"520","Terrebonne Parish Consol Gov't","Houma","LA","Terrebonne",8884,1439,"14","8884 1439 14",6138,12.6,"Natural Gas Steam Turbine","NG","OP",8,1967,NA,NA,5.56099151989563
"521","Terrebonne Parish Consol Gov't","Houma","LA","Terrebonne",8884,1439,"15","8884 1439 15",8139,25.5,"Natural Gas Steam Turbine","NG","OP",8,1972,NA,NA,3.64356701584743
"522","Terrebonne Parish Consol Gov't","Houma","LA","Terrebonne",8884,1439,"16","8884 1439 16",19221,40.8,"Natural Gas Steam Turbine","NG","OP",1,1977,NA,NA,5.3778874563524
"523","Louisiana Generating LLC","Big Cajun 1","LA","Pointe Coupee",11252,1464,"1","11252 1464 1",41913,113.6,"Natural Gas Steam Turbine","NG","OP",6,1972,NA,NA,4.21178612772526
"524","Louisiana Generating LLC","Big Cajun 1","LA","Pointe Coupee",11252,1464,"2","11252 1464 2",35462,113.6,"Natural Gas Steam Turbine","NG","OP",6,1972,NA,NA,3.56353302463181
"525","FPL Energy Wyman LLC","William F Wyman Hybrid","ME","Cumberland",31719,1507,"1","31719 1507 1",4882,50,"Petroleum Liquids","RFO","OP",1,1957,NA,NA,1.11461187214612
"526","FPL Energy Wyman LLC","William F Wyman Hybrid","ME","Cumberland",31719,1507,"2","31719 1507 2",3692,50,"Petroleum Liquids","RFO","OP",1,1958,NA,NA,0.842922374429224
"527","FPL Energy Wyman LLC","William F Wyman Hybrid","ME","Cumberland",31719,1507,"3","31719 1507 3",17755,113.6,"Petroleum Liquids","RFO","OP",1,1965,NA,NA,1.78417824297382
"528","FPL Energy Wyman LLC","William F Wyman Hybrid","ME","Cumberland",31719,1507,"4","31719 1507 4",132408,632.4,"Petroleum Liquids","RFO","OP",1,1978,NA,NA,2.39011203244002
"531","Constellation Power Source Gen","Gould Street","MD","Baltimore City",4161,1553,"3","4161 1553 3",14839,103.5,"Natural Gas Steam Turbine","NG","OP",12,1952,6,2019,1.63666644607681
"532","H.A. Wagner LLC","Herbert A Wagner","MD","Anne Arundel",60422,1554,"1","60422 1554 1",596,132.8,"Natural Gas Steam Turbine","NG","OP",2,1956,NA,NA,0.0512323265665401
"533","H.A. Wagner LLC","Herbert A Wagner","MD","Anne Arundel",60422,1554,"2","60422 1554 2",31519,136,"Conventional Steam Coal","RC","OP",1,1959,6,2020,2.64563188289014
"535","H.A. Wagner LLC","Herbert A Wagner","MD","Anne Arundel",60422,1554,"4","60422 1554 4",38871,414.7,"Petroleum Liquids","RFO","OP",8,1972,NA,NA,1.07000934823325
"536","NRG Vienna Operations Inc","Vienna Operations","MD","Dorchester",19830,1564,"8","19830 1564 8",4416,162,"Petroleum Liquids","RFO","OP",1,1972,NA,NA,0.311178758667343
"537","GenOn Chalk Point, LLC","Chalk Point LLC","MD","Prince Georges",12628,1571,"3","12628 1571 3",274799,659,"Natural Gas Steam Turbine","NG","OP",5,1975,NA,NA,4.76020468261722
"538","GenOn Chalk Point, LLC","Chalk Point LLC","MD","Prince Georges",12628,1571,"4","12628 1571 4",297913,659,"Natural Gas Steam Turbine","NG","OP",12,1981,NA,NA,5.16059686393525
"541","GenOn Mid-Atlantic LLC","Dickerson","MD","Montgomery",12653,1572,"2","12653 1572 2",80087,196,"Conventional Steam Coal","BIT","OP",4,1960,NA,NA,4.66446510110894
"542","GenOn Mid-Atlantic LLC","Dickerson","MD","Montgomery",12653,1572,"3","12653 1572 3",93757,196,"Conventional Steam Coal","BIT","OP",3,1962,NA,NA,5.46063973534619
