PlantID,CombinedHeatAndPowerPlant,PlantName,OperatorName,OperatorID,PlantState,CensusRegion,NERCRegion,NAICSCode,SectorNumber,SectorName,GeneratorID,ReportedPrimeMover,NetGeneration2018,YEAR
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST2,ST,"240,698",2018
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST3,ST,"318,236",2018
127,N,Oklaunion,Public Service Co of Oklahoma,15474,TX,WSC,TRE,22,1,Electric Utility,1,ST,"3,320,056",2018
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,1,ST,"2,815,410",2018
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,2,ST,"107,124",2018
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,3,ST,"2,930,138",2018
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,4,ST,"3,691,924",2018
136,N,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,FRCC,22,1,Electric Utility,1,ST,"3,980,520",2018
136,N,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,FRCC,22,1,Electric Utility,2,ST,"3,727,913",2018
141,N,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF1,ST,"40,147",2018
141,N,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF2,ST,"36,229",2018
141,N,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF3,ST,"68,036",2018
147,N,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,KY7,CT,"550,048",2018
147,N,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,KY7A,CA,"301,721",2018
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST1,ST,"121,636",2018
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST2,ST,"899,999",2018
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST3,ST,"694,579",2018
165,N,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,1,ST,"-20,508",2018
165,N,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,2,ST,"421,889",2018
165,N,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,3CT,CT,"1,499,223",2018
165,N,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,3ST,CA,"781,699",2018
170,N,Lake Catherine,Entergy Arkansas LLC,814,AR,WSC,SERC,22,1,Electric Utility,4,ST,"289,084",2018
201,N,Thomas Fitzhugh,Arkansas Electric Coop Corp,807,AR,WSC,SERC,22,1,Electric Utility,1,CA,"72,482",2018
201,N,Thomas Fitzhugh,Arkansas Electric Coop Corp,807,AR,WSC,SERC,22,1,Electric Utility,2,CT,"200,380",2018
202,N,Carl Bailey,Arkansas Electric Coop Corp,807,AR,WSC,SERC,22,1,Electric Utility,1,ST,"14,199",2018
203,N,McClellan (AR),Arkansas Electric Coop Corp,807,AR,WSC,SERC,22,1,Electric Utility,1,ST,"61,046",2018
207,N,St Johns River Power Park,JEA,9617,FL,SAT,FRCC,22,1,Electric Utility,1,ST,0,2018
207,N,St Johns River Power Park,JEA,9617,FL,SAT,FRCC,22,1,Electric Utility,2,ST,0,2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,ST,0,2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,7,ST,0,2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST1,CA,"738,626",2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST2,CA,"714,307",2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT1A,CT,"669,262",2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT1B,CT,"708,334",2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT2A,CT,"715,141",2018
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT2B,CT,"633,113",2018
298,N,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,22,2,NAICS-22 Non-Cogen,1,ST,"4,762,578",2018
298,N,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,22,2,NAICS-22 Non-Cogen,2,ST,"4,785,785",2018
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,"21,264",2018
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,3,ST,"25,612",2018
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,ST,"105,694",2018
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,ST,"144,148",2018
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST1,ST,0,2018
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,"31,671",2018
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,"87,215",2018
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,3,ST,"286,897",2018
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,ST,"273,209",2018
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,ST,"126,817",2018
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,ST,"152,491",2018
331,N,Etiwanda Generating Station,"GenOn California South, LP",15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,3,ST,0,2018
331,N,Etiwanda Generating Station,"GenOn California South, LP",15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,ST,0,2018
335,N,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,"187,077",2018
335,N,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,"132,445",2018
345,N,Mandalay,"GenOn California South, LP",15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,0,2018
345,N,Mandalay,"GenOn California South, LP",15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,0,2018
350,N,Ormond Beach,"GenOn California South, LP",15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,"94,180",2018
350,N,Ormond Beach,"GenOn California South, LP",15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,"91,835",2018
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,ST,"28,797",2018
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,ST,"25,473",2018
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,7,ST,"97,373",2018
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,8,ST,"122,864",2018
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3A,CT,"329,345",2018
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3B,CT,"239,283",2018
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3C,CA,"323,623",2018
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4A,CT,"413,875",2018
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4B,CT,"340,496",2018
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4C,CA,"445,252",2018
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,1,CA,97,2018
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,2,CA,923,2018
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,3,ST,0,2018
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,4,ST,"72,554",2018
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,5,ST,"47,035",2018
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,8A,CT,0,2018
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,8BC,CT,"2,280",2018
384,N,Joliet 29,Midwest Generations EME LLC,12384,IL,ENC,RFC,22,2,NAICS-22 Non-Cogen,7,ST,"306,605",2018
384,N,Joliet 29,Midwest Generations EME LLC,12384,IL,ENC,RFC,22,2,NAICS-22 Non-Cogen,8,ST,"321,847",2018
389,N,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,2,CA,"54,338",2018
389,N,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,4,ST,"1,831",2018
389,N,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,2A,CT,"122,184",2018
389,N,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,30,CA,"196,538",2018
389,N,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,31,CT,"216,050",2018
389,N,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,32,CT,"162,681",2018
399,N,Harbor,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,5,CA,"8,073",2018
399,N,Harbor,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,10A,CT,"9,934",2018
399,N,Harbor,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,10B,CT,"11,008",2018
400,N,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,1,ST,"40,840",2018
400,N,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,2,ST,"29,640",2018
400,N,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,8,CA,"1,053,457",2018
400,N,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,9,CT,"850,768",2018
400,N,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,10,CT,"874,550",2018
404,N,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,1,ST,"72,866",2018
404,N,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,2,ST,"39,364",2018
404,N,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,4,CT,"1,068,990",2018
404,N,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,5,CA,"543,837",2018
408,N,Valley (CA),Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,6,CT,"416,722",2018
408,N,Valley (CA),Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,7,CT,"493,323",2018
408,N,Valley (CA),Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,8,CA,"579,012",2018
422,N,Glenarm,City of Pasadena - (CA),14534,CA,PACC,WECC,22,1,Electric Utility,GT5,CT,"30,634",2018
422,N,Glenarm,City of Pasadena - (CA),14534,CA,PACC,WECC,22,1,Electric Utility,ST1,CA,"6,844",2018
469,N,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,4,ST,"1,090,864",2018
469,N,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,5,CT,"810,557",2018
469,N,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,6,CT,"883,984",2018
469,N,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,7,CA,"1,056,473",2018
470,N,Comanche (CO),Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,1,ST,"2,213,807",2018
470,N,Comanche (CO),Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,2,ST,"2,215,649",2018
470,N,Comanche (CO),Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,3,ST,"5,332,191",2018
477,N,Valmont,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,5,ST,-139,2018
492,N,Martin Drake,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,6,ST,"328,141",2018
492,N,Martin Drake,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,7,ST,"593,631",2018
493,N,George Birdsall,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,1,ST,"1,569",2018
493,N,George Birdsall,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,2,ST,"1,225",2018
493,N,George Birdsall,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,3,ST,"1,190",2018
511,N,Trinidad (CO),City of Trinidad - (CO),19204,CO,MTN,WECC,22,1,Electric Utility,1,ST,0,2018
525,N,Hayden,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,1,ST,"1,021,080",2018
525,N,Hayden,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,2,ST,"1,302,516",2018
527,N,Nucla,"Tri-State G & T Assn, Inc",30151,CO,MTN,WECC,22,1,Electric Utility,1,ST,"6,526",2018
527,N,Nucla,"Tri-State G & T Assn, Inc",30151,CO,MTN,WECC,22,1,Electric Utility,2,ST,"6,061",2018
527,N,Nucla,"Tri-State G & T Assn, Inc",30151,CO,MTN,WECC,22,1,Electric Utility,3,ST,"5,990",2018
527,N,Nucla,"Tri-State G & T Assn, Inc",30151,CO,MTN,WECC,22,1,Electric Utility,ST4,ST,"42,976",2018
533,N,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,1,CA,"8,434",2018
533,N,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,2,CA,"18,245",2018
533,N,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,3,CA,"33,765",2018
533,N,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,4,CT,"243,480",2018
533,N,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,VAN1,CT,"1,220,546",2018
533,N,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,VAN2,CT,"1,157,809",2018
533,N,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,VAN3,CA,"1,274,850",2018
546,N,Montville Station,NRG Montville Operations Inc,22380,CT,NEW,NPCC,22,2,NAICS-22 Non-Cogen,5,ST,"23,077",2018
546,N,Montville Station,NRG Montville Operations Inc,22380,CT,NEW,NPCC,22,2,NAICS-22 Non-Cogen,6,ST,"52,379",2018
550,N,Kettle Falls Generating Station,Avista Corp,20169,WA,PACC,WECC,22,1,Electric Utility,1,ST,"336,936",2018
562,N,Middletown,Middletown Power LLC,12490,CT,NEW,NPCC,22,2,NAICS-22 Non-Cogen,2,ST,"120,100",2018
562,N,Middletown,Middletown Power LLC,12490,CT,NEW,NPCC,22,2,NAICS-22 Non-Cogen,3,ST,"222,385",2018
562,N,Middletown,Middletown Power LLC,12490,CT,NEW,NPCC,22,2,NAICS-22 Non-Cogen,4,ST,"37,263",2018
564,N,Stanton Energy Center,Orlando Utilities Comm,14610,FL,SAT,FRCC,22,1,Electric Utility,1,ST,"2,246,204",2018
564,N,Stanton Energy Center,Orlando Utilities Comm,14610,FL,SAT,FRCC,22,1,Electric Utility,2,ST,"2,364,611",2018
564,N,Stanton Energy Center,Orlando Utilities Comm,14610,FL,SAT,FRCC,22,1,Electric Utility,B,CA,"584,739",2018
564,N,Stanton Energy Center,Orlando Utilities Comm,14610,FL,SAT,FRCC,22,1,Electric Utility,B1,CT,"983,193",2018
568,N,Bridgeport Station,PSEG Power Connecticut LLC,15452,CT,NEW,NPCC,22,2,NAICS-22 Non-Cogen,3,ST,"332,754",2018
589,N,J C McNeil,City of Burlington Electric - (VT),2548,VT,NEW,NPCC,22,1,Electric Utility,1,ST,"245,501",2018
593,N,Edge Moor,Calpine Mid-Atlantic Generation LLC,56609,DE,SAT,RFC,22,2,NAICS-22 Non-Cogen,3,ST,"37,298",2018
593,N,Edge Moor,Calpine Mid-Atlantic Generation LLC,56609,DE,SAT,RFC,22,2,NAICS-22 Non-Cogen,4,ST,"67,088",2018
593,N,Edge Moor,Calpine Mid-Atlantic Generation LLC,56609,DE,SAT,RFC,22,2,NAICS-22 Non-Cogen,5,ST,"208,513",2018
594,N,Indian River Generating Station,Indian River Operations Inc,9332,DE,SAT,RFC,22,2,NAICS-22 Non-Cogen,4,ST,"278,641",2018
599,N,McKee Run,NAES Corporation - (DE),54899,DE,SAT,RFC,22,2,NAICS-22 Non-Cogen,1,ST,0,2018
599,N,McKee Run,NAES Corporation - (DE),54899,DE,SAT,RFC,22,2,NAICS-22 Non-Cogen,2,ST,0,2018
599,N,McKee Run,NAES Corporation - (DE),54899,DE,SAT,RFC,22,2,NAICS-22 Non-Cogen,3,ST,"28,704",2018
602,N,Brandon Shores,Brandon Shores LLC,60421,MD,SAT,RFC,22,2,NAICS-22 Non-Cogen,1,ST,"2,177,379",2018
602,N,Brandon Shores,Brandon Shores LLC,60421,MD,SAT,RFC,22,2,NAICS-22 Non-Cogen,2,ST,"2,554,792",2018
609,N,Cape Canaveral,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,3A,CT,"2,100,667",2018
609,N,Cape Canaveral,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,3B,CT,"1,419,181",2018
609,N,Cape Canaveral,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,3C,CT,"1,640,003",2018
609,N,Cape Canaveral,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,3ST,CA,"2,254,636",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,2A,CT,"984,741",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,2B,CT,"860,928",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,2C,CT,"1,038,501",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,2D,CT,"959,432",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,2E,CT,"908,389",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,2F,CT,"1,090,804",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,ST1,CA,"386,994",2018
612,N,Fort Myers,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,ST2,CA,"2,837,470",2018
613,N,Lauderdale,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,ST4,CA,"591,413",2018
613,N,Lauderdale,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,ST5,CA,"190,879",2018
613,N,Lauderdale,Florida Power & Light Co,6452,FL,SAT,FRCC,22,1,Electric Utility,4GT1,CT,"650,875",2018
