PlantID,CombinedHeatAndPowerPlant,NuclearUnitID,PlantName,OperatorName,OperatorID,PlantState,CensusRegion,NERCRegion,NAICSCode,EIASectorNumber,SectorName,ReportedPrimeMover,ReportedFuelTypeCode,AERFuelTypeCode,TotalFuelConsumptionQuantity,ElectricFuelConsumptionQuantity,TotalFuelConsumptionMMBtu,ElecFuelConsumptionMMBtu,NetGenerationMWh,YEAR
15,N,.,Lay Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"6,236,896","6,236,896","685,072",2018
16,N,.,Martin Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"3,173,016","3,173,016","348,530",2018
17,N,.,Mitchell Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"4,946,248","4,946,248","543,305",2018
18,N,.,Lewis Smith Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"2,165,705","2,165,705","237,885",2018
19,N,.,Thurlow Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"1,903,618","1,903,618","209,097",2018
20,N,.,Weiss Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"2,557,713","2,557,713","280,944",2018
21,N,.,Yates Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"1,301,800","1,301,800","142,992",2018
26,N,.,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,GT,DFO,DFO,688,688,"3,975","3,975",176,2018
26,N,.,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,BIT,COL,"1,268,989","1,268,989","29,319,309","29,319,309","2,851,865",2018
26,N,.,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,"33,382,238","33,382,238","34,184,135","34,184,135","3,235,213",2018
30,N,.,Madelia,City of Madelia - (MN),29305,MN,WNC,MRO,22,1,Electric Utility,IC,DFO,DFO,25,25,154,154,-206,2018
30,N,.,Madelia,City of Madelia - (MN),29305,MN,WNC,MRO,22,1,Electric Utility,IC,NG,NG,0,0,0,0,0,2018
34,N,.,Rollins,Nevada Irrigation District,13402,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,HY,WAT,HYC,0,0,"558,238","558,238","61,318",2018
38,N,.,Millers Ferry,USCE-Mobile District,27813,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"2,617,447","2,617,447","287,505",2018
46,N,1,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,ST,NUC,NUC,0,0,"81,976,205","81,976,205","7,841,125",2018
46,N,2,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,ST,NUC,NUC,0,0,"98,875,245","98,875,245","9,457,539",2018
46,N,3,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,ST,NUC,NUC,0,0,"84,673,423","84,673,423","8,099,117",2018
47,N,.,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,GT,DFO,DFO,0,0,0,0,0,2018
47,N,.,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,GT,NG,NG,"893,601","893,601","893,601","893,601","68,000",2018
48,N,.,Guntersville,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"6,679,195","6,679,195","733,655",2018
49,N,.,Wheeler Dam,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"14,783,304","14,783,304","1,623,825",2018
51,N,.,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,22,1,Electric Utility,ST,LIG,COL,"1,316,139","1,316,139","17,559,770","17,559,770","1,420,845",2018
51,N,.,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,22,1,Electric Utility,ST,NG,NG,"754,369","754,369","787,468","787,468","62,224",2018
51,N,.,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,22,1,Electric Utility,ST,PG,WOO,0,0,0,0,0,2018
53,N,.,Gantt,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"8,228","8,228",904,2018
54,N,.,J K Smith,"East Kentucky Power Coop, Inc",5580,KY,ESC,SERC,22,1,Electric Utility,GT,DFO,DFO,"7,777","7,777","45,264","45,264","3,477",2018
54,N,.,J K Smith,"East Kentucky Power Coop, Inc",5580,KY,ESC,SERC,22,1,Electric Utility,GT,NG,NG,"4,811,009","4,811,009","5,093,525","5,093,525","390,994",2018
55,N,.,Point A,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"126,365","126,365","13,880",2018
56,N,.,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,ST,BIT,COL,"639,901","639,901","14,703,184","14,703,184","1,245,578",2018
56,N,.,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,ST,DFO,DFO,"30,592","30,592","168,260","168,260","11,064",2018
59,N,.,Platte,City of Grand Island - (NE),40606,NE,WNC,MRO,22,1,Electric Utility,ST,DFO,DFO,"1,554","1,554","9,137","9,137",770,2018
59,N,.,Platte,City of Grand Island - (NE),40606,NE,WNC,MRO,22,1,Electric Utility,ST,SUB,COL,"374,292","374,292","6,325,030","6,325,030","535,952",2018
60,N,.,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,ST,DFO,DFO,"3,860","3,860","22,209","22,209","1,354",2018
60,N,.,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,ST,RC,COL,"534,094","534,094","8,673,930","8,673,930","434,978",2018
60,N,.,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,ST,SUB,COL,"927,163","927,163","15,035,320","15,035,320","941,095",2018
62,N,.,Annex Creek,Alaska Electric Light&Power Co,213,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"242,685","242,685","26,657",2018
63,N,.,Gold Creek,Alaska Electric Light&Power Co,213,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"37,289","37,289","4,096",2018
63,N,.,Gold Creek,Alaska Electric Light&Power Co,213,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,17,17,96,96,7,2018
64,N,.,Lemon Creek,Alaska Electric Light&Power Co,213,AK,PACN,ASCC,22,1,Electric Utility,GT,DFO,DFO,616,616,"3,490","3,490",-231,2018
64,N,.,Lemon Creek,Alaska Electric Light&Power Co,213,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,456,456,"2,586","2,586",-464,2018
65,N,.,Salmon Creek 1,Alaska Electric Light&Power Co,213,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"222,039","222,039","24,389",2018
66,N,.,Skagway,Alaska Power and Telephone Co,219,AK,PACN,,22,1,Electric Utility,HY,WAT,HYC,0,0,"18,099","18,099","1,988",2018
66,N,.,Skagway,Alaska Power and Telephone Co,219,AK,PACN,,22,1,Electric Utility,IC,DFO,DFO,146,146,852,852,-37,2018
69,N,.,Haines,Alaska Power and Telephone Co,219,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,"2,594","2,594","15,110","15,110","1,126",2018
70,N,.,Swan Lake,Southeast Alaska Power Agency,60123,AK,PACN,,22131,4,Commercial NAICS Non-Cogen,HY,WAT,HYC,0,0,"531,819","531,819","58,416",2018
71,N,.,Terror Lake Microgrid,Kodiak Electric Assn Inc,10433,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"1,110,405","1,110,405","121,969",2018
72,N,.,Venice Hydro,Metropolitan Water District of S CA,12397,CA,PACC,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,0,0,0,2018
75,N,.,Anchorage 1,Anchorage Municipal Light and Power,599,AK,PACN,ASCC,22,1,Electric Utility,GT,DFO,DFO,179,179,"1,003","1,003",75,2018
75,N,.,Anchorage 1,Anchorage Municipal Light and Power,599,AK,PACN,ASCC,22,1,Electric Utility,GT,NG,NG,"386,419","386,419","386,419","386,419","28,857",2018
75,N,.,Anchorage 1,Anchorage Municipal Light and Power,599,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,17,17,95,95,5,2018
77,N,.,Eklutna Hydro Project,Anchorage Municipal Light and Power,599,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"1,530,519","1,530,519","168,115",2018
78,N,.,Snettisham,Alaska Electric Light&Power Co,213,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"2,365,729","2,365,729","259,856",2018
79,Y,.,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,ST,AB,ORW,0,0,0,0,0,2018
79,Y,.,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,ST,DFO,DFO,0,0,0,0,0,2018
79,Y,.,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,ST,SUB,COL,"215,686","148,123","3,270,569","2,244,198","177,819",2018
79,Y,.,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,ST,WDS,WWW,0,0,0,0,0,2018
84,N,.,Ketchikan,Ketchikan Public Utilities,10210,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"143,306","143,306","15,741",2018
85,N,.,S W Bailey,Ketchikan Public Utilities,10210,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,"32,240","32,240","187,638","187,638","18,614",2018
87,N,.,Escalante,"Tri-State G & T Assn, Inc",30151,NM,MTN,WECC,22,1,Electric Utility,ST,NG,NG,"101,174","101,174","104,237","104,237","9,900",2018
87,N,.,Escalante,"Tri-State G & T Assn, Inc",30151,NM,MTN,WECC,22,1,Electric Utility,ST,SUB,COL,"724,665","724,665","13,239,751","13,239,751","1,280,011",2018
88,N,.,Ashokan,New York Power Authority,15296,NY,MAT,NPCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"115,274","115,274","12,662",2018
90,N,.,Snake River,Nome Joint Utility Systems,13642,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,"44,292","44,292","256,894","256,894","30,191",2018
90,N,.,Snake River,Nome Joint Utility Systems,13642,AK,PACN,ASCC,22,1,Electric Utility,WT,WND,WND,0,0,"18,608","18,608","2,044",2018
91,N,.,Petersburg,Petersburg Borough - (AK),14856,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"81,078","81,078","8,906",2018
91,N,.,Petersburg,Petersburg Borough - (AK),14856,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,755,755,"4,381","4,381",413,2018
92,N,.,Seward (AK),City of Seward - (AK),16955,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,331,331,"1,909","1,909",144,2018
93,N,.,Blue Lake Hydro,City & Borough of Sitka - (AK),17271,AK,PACN,ASCC,22,1,Electric Utility,HY,WAT,HYC,0,0,"511,371","511,371","56,170",2018
95,N,.,Wrangell,City of Wrangell - (AK),21015,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,966,966,"5,315","5,315",520,2018
96,N,.,Beluga,Chugach Electric Assn Inc,3522,AK,PACN,ASCC,22,1,Electric Utility,GT,NG,NG,"706,081","706,081","706,081","706,081","37,832",2018
99,N,.,Frederickson,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,1,Electric Utility,GT,DFO,DFO,126,126,741,741,26,2018
99,N,.,Frederickson,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,1,Electric Utility,GT,NG,NG,"790,158","790,158","853,368","853,368","29,845",2018
100,N,.,South Consolidated,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,0,0,0,2018
104,N,.,J S Eastwood,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,PS,WAT,HPS,"42,797","42,797",0,0,"234,070",2018
108,N,.,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,22,1,Electric Utility,ST,NG,NG,"118,407","118,407","133,230","133,230","9,964",2018
108,N,.,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,22,1,Electric Utility,ST,SUB,COL,"917,230","917,230","15,996,142","15,996,142","1,462,251",2018
109,N,.,Dillingham,"Nushagak Electric Coop, Inc",13870,AK,PACN,ASCC,22,1,Electric Utility,IC,DFO,DFO,"31,505","31,505","183,675","183,675","19,005",2018
113,N,.,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,BIT,COL,0,0,0,0,0,2018
113,N,.,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,DFO,DFO,"5,218","5,218","28,336","28,336","2,588",2018
113,N,.,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,"1,536","1,536","1,311","1,311",117,2018
113,N,.,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,SUB,COL,"2,156,165","2,156,165","39,606,857","39,606,857","3,612,301",2018
114,N,.,Douglas,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,674,674,"3,923","3,923",141,2018
116,N,.,Ocotillo,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"478,887","478,887","502,352","502,352","24,040",2018
116,N,.,Ocotillo,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,"2,663,549","2,663,549","2,794,126","2,794,126","246,720",2018
117,N,.,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CA,NG,NG,0,0,0,0,"686,163",2018
117,N,.,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CS,NG,NG,"7,096,853","7,096,853","7,448,213","7,448,213","733,091",2018
117,N,.,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CT,BIT,COL,0,0,0,0,0,2018
117,N,.,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CT,DFO,DFO,0,0,0,0,0,2018
117,N,.,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CT,NG,NG,"16,745,404","16,745,404","17,588,302","17,588,302","1,537,589",2018
117,N,.,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"533,148","533,148","559,532","559,532","28,139",2018
118,N,.,Saguaro,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,0,0,0,0,0,2018
118,N,.,Saguaro,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"1,396,998","1,396,998","1,472,436","1,472,436","109,365",2018
118,N,.,Saguaro,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,RFO,RFO,0,0,0,0,0,2018
120,N,.,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,"6,655","6,655","38,453","38,453","3,094",2018
120,N,.,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"1,939,697","1,939,697","2,003,899","2,003,899","165,689",2018
120,N,.,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,"2,995,424","2,995,424","3,085,496","3,085,496","287,994",2018
120,N,.,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,RFO,RFO,0,0,0,0,0,2018
124,N,.,Demoss Petrie,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"83,696","83,696","85,369","85,369","5,154",2018
126,N,.,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,0,0,0,0,0,2018
126,N,.,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"220,353","220,353","226,963","226,963","17,489",2018
126,N,.,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,BIT,COL,0,0,0,0,0,2018
126,N,.,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,LFG,MLG,0,0,0,0,0,2018
126,N,.,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,"15,452,701","15,452,701","15,916,283","15,916,283","1,394,934",2018
126,N,.,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,RFO,RFO,0,0,0,0,0,2018
126,N,.,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,SUB,COL,0,0,0,0,0,2018
127,N,.,Oklaunion,Public Service Co of Oklahoma,15474,TX,WSC,TRE,22,1,Electric Utility,ST,BIT,COL,0,0,0,0,0,2018
127,N,.,Oklaunion,Public Service Co of Oklahoma,15474,TX,WSC,TRE,22,1,Electric Utility,ST,DFO,DFO,"8,271","8,271","47,547","47,547","4,487",2018
127,N,.,Oklaunion,Public Service Co of Oklahoma,15474,TX,WSC,TRE,22,1,Electric Utility,ST,SUB,COL,"2,010,058","2,010,058","34,693,730","34,693,730","3,315,569",2018
130,N,.,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,BIT,COL,"103,745","103,745","2,432,094","2,432,094","247,240",2018
130,N,.,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,DFO,DFO,"36,903","36,903","213,670","213,670","21,231",2018
130,N,.,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,PC,PC,0,0,0,0,0,2018
130,N,.,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,RC,COL,"3,942,150","3,942,150","93,436,018","93,436,018","9,276,125",2018
136,N,.,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,FRCC,22,1,Electric Utility,ST,BIT,COL,"3,159,232","3,159,232","77,020,036","77,020,036","7,688,213",2018
136,N,.,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,FRCC,22,1,Electric Utility,ST,DFO,DFO,"35,374","35,374","202,819","202,819","20,220",2018
141,N,.,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,0,0,0,0,-19,2018
141,N,.,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"103,033","103,033","105,809","105,809","3,938",2018
141,N,.,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,PV,SUN,SUN,0,0,"2,558","2,558",281,2018
141,N,.,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,ST,DFO,DFO,0,0,0,0,0,2018
141,N,.,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,"1,803,482","1,803,482","1,847,421","1,847,421","144,412",2018
145,N,.,Horse Mesa,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"273,765","273,765","29,987",2018
145,N,.,Horse Mesa,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,PS,WAT,HPS,"119,673","119,673",0,0,"20,136",2018
147,N,.,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,CA,NG,NG,"153,391","153,391","160,199","160,199","301,721",2018
147,N,.,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,CT,NG,NG,"5,911,997","5,911,997","6,181,179","6,181,179","550,048",2018
147,N,.,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,0,0,0,0,0,2018
147,N,.,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"42,291","42,291","44,469","44,469","1,441",2018
148,N,.,Mormon Flat,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"108,920","108,920","11,964",2018
148,N,.,Mormon Flat,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,PS,WAT,HPS,"68,417","68,417",0,0,"5,226",2018
149,N,.,Roosevelt,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"530,525","530,525","58,274",2018
150,N,.,Stewart Mountain,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"234,245","234,245","25,730",2018
151,N,.,McClure,Modesto Irrigation District,12745,CA,PACC,WECC,22,1,Electric Utility,GT,DFO,DFO,"4,741","4,741","27,617","27,617","1,520",2018
151,N,.,McClure,Modesto Irrigation District,12745,CA,PACC,WECC,22,1,Electric Utility,GT,NG,NG,"25,113","25,113","26,144","26,144","1,438",2018
152,N,.,Davis Dam,U S Bureau of Reclamation,2518,AZ,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"10,044,542","10,044,542","1,103,311",2018
153,N,.,Glen Canyon Dam,U S Bureau of Reclamation,2518,AZ,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"36,038,210","36,038,210","3,958,503",2018
154,N,.,Hoover Dam (NV),U S Bureau of Reclamation,2518,NV,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"16,520,537","16,520,537","1,814,646",2018
159,N,.,Lake Creek Dam,Heber Light & Power Company,8366,UT,MTN,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"25,064","25,064","2,753",2018
160,N,.,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,0,0,0,0,0,2018
160,N,.,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,"701,982","701,982","739,070","739,070","57,129",2018
160,N,.,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST,BIT,COL,"23,502","23,502","537,255","537,255","46,134",2018
160,N,.,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,"11,736,793","11,736,793","12,350,811","12,350,811","1,092,914",2018
160,N,.,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST,SUB,COL,"352,612","352,612","6,502,907","6,502,907","577,166",2018
161,N,.,Turlock Lake,Turlock Irrigation District,19281,CA,PACC,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"80,451","80,451","8,837",2018
162,N,.,Hickman,Turlock Irrigation District,19281,CA,PACC,WECC,22,1,Electric Utility,HY,WAT,HYC,0,0,"41,850","41,850","4,597",2018
165,N,.,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,CA,NG,NG,0,0,0,0,"781,699",2018
